City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,293.21,49,0,8.23,CL,1674082688
1,hilo,19.7297,-155.09,301.0,78,40,5.66,US,1674082180
2,nikolskoye,59.7035,30.7861,274.15,98,100,4.12,RU,1674082689
3,latung,5.5,120.8833,300.07,79,43,1.62,PH,1674082690
4,naze,28.3667,129.4833,284.66,62,98,3.36,JP,1674082691
5,byron bay,-28.65,153.6167,297.99,57,5,2.85,AU,1674082660
6,busselton,-33.65,115.3333,290.19,64,9,7.15,AU,1674082693
7,namibe,-15.1961,12.1522,296.79,71,100,2.97,AO,1674082693
8,geraldton,-28.7667,114.6,297.38,64,37,2.06,AU,1674082694
9,cape town,-33.9258,18.4232,294.31,82,20,0.51,ZA,1674082652
10,east london,-33.0153,27.9116,298.54,83,70,7.33,ZA,1674082696
11,ushuaia,-54.8,-68.3,290.96,45,20,8.75,AR,1674082612
12,bethel,41.3712,-73.414,281.35,69,84,0.45,US,1674082536
13,hobart,-42.8794,147.3294,289.41,56,75,6.17,AU,1674082628
14,longyearbyen,78.2186,15.6401,260.06,66,0,3.6,SJ,1674082699
15,port alfred,-33.5906,26.891,297.09,81,100,1.81,ZA,1674082700
16,cidreira,-30.1811,-50.2056,296.63,88,100,5.77,BR,1674082700
17,wonosobo,-7.36,109.9025,291.41,100,100,0.56,ID,1674082650
18,san policarpo,12.1791,125.5072,299.34,85,100,5.22,PH,1674082702
19,louis trichardt,-23.0439,29.9032,293.55,68,72,0.48,ZA,1674082703
20,riohacha,11.5444,-72.9072,300.46,62,9,5.68,CO,1674082703
21,kodinsk,58.6881,99.1844,228.14,100,56,1.36,RU,1674082704
22,diego de almagro,-26.3667,-70.05,298.07,27,0,4.44,CL,1674082705
23,kandrian,-6.2167,149.55,302.44,70,96,7.47,PG,1674082706
24,salinopolis,-0.6136,-47.3561,296.95,85,100,2.99,BR,1674082707
25,avarua,-21.2078,-159.775,299.18,89,100,4.12,CK,1674082708
26,axim,4.8699,-2.2405,299.57,86,70,3.08,GH,1674082709
27,jamestown,42.097,-79.2353,274.95,60,100,3.09,US,1674082433
28,beringovskiy,63.05,179.3167,242.68,92,28,2.31,RU,1674082710
29,egvekinot,66.3167,-179.1667,244.3,91,100,1.35,RU,1674082711
30,husavik,66.0449,-17.3389,269.01,73,100,4.75,IS,1674082639
31,cayenne,4.9333,-52.3333,297.17,88,75,2.57,GF,1674082444
32,atuona,-9.8,-139.0333,298.68,79,27,8.12,PF,1674082713
33,zeya,53.75,127.2667,241.39,91,100,2.37,RU,1674082713
34,saint-philippe,-21.3585,55.7679,297.92,90,100,6.19,RE,1674082715
35,new norfolk,-42.7826,147.0587,289.22,45,42,2.24,AU,1674082716
36,vaini,-21.2,-175.2,302.24,74,75,3.09,TO,1674082717
37,norman wells,65.282,-126.8329,253.17,84,75,2.57,CA,1674082717
38,hithadhoo,-0.6,73.0833,300.47,74,20,3.11,MV,1674082719
39,nalut,30.3333,10.85,284.52,17,0,5.5,LY,1674082720
40,mataura,-46.1927,168.8643,297.03,43,8,1.16,NZ,1674082720
41,little baguio,7.8939,125.2764,291.47,92,73,1.14,PH,1674082722
42,mahebourg,-20.4081,57.7,299.31,94,75,5.66,MU,1674082722
43,teguldet,57.3064,88.1667,258.3,97,100,1.64,RU,1674082723
44,olinda,-8.0089,-34.8553,299.0,78,75,3.09,BR,1674082724
45,karlstad,59.3793,13.5036,274.46,100,100,2.57,SE,1674082725
